APPOINTMENT_ODU_ID,PRACTICE_ODU_ID,PRACTICE_NAME,PATIENT_ODU_ID,RESOURCE_ODU_ID,APPOINTMENT_DATE,APPOINTMENT_DATETIME,DURATION,PIMS_SOURCE,PIMS_SCHEDULE_TYPE,PIMS_STATUS,NOTES,APPOINTMENT_TYPE,IS_CANCELED_APPOINTMENT,ODU_IS_DELETED,CREATED_DATE,APPT_DATE,TOTAL_AMOUNT,TOTAL_QTY,ANY_INCLINIC,ANY_REVENUE,TXN_COUNT,NO_SHOW,LEAD_TIME_HOURS,DAY_OF_WEEK,HOUR_OF_DAY,MONTH,WEEKDAY_NUM,IS_WEEKEND,IS_MORNING_SLOT,IS_AFTERNOON_SLOT,IS_EVENING_SLOT,DURATION_MIN,PREV_APPT_DATE,DAYS_SINCE_LAST_APPT,PAST_NOSHOW_RATE,RESOURCE_NOSHOW_RATE,PRACTICE_NOSHOW_RATE,IS_MONTH_START,IS_MONTH_END
192696-1359,1359-location,Emergency Care Hospital,16633-1359,5-1359,2025-01-15,2025-01-15 16:00:00,60,Appointment,Euthanasia,Kept,"Home Euth, no ashes back",Professional Services,False,False,2025-01-08,2025-01-15,585.3,2.0,True,True,2.0,False,184.0,Wednesday,16,1,2,False,False,True,False,60,,,,0.023316062176165803,0.1589310829817159,False,False
193319-1359,1359-location,Emergency Care Hospital,16721-1359,1-1359,2025-01-30,2025-01-30 08:00:00,30,Appointment,Examination,Late,"O running about 10 minutes late due to traffic _x000D_
Web Appointment - Matched_x000D_
VETSTORIA -  - Buddy (Dog) - Kaelie Breiter - Exam - Quality of Life Assessment [Veterinarian : Dr. Katherine Pjevach(No Preference)] - He is 15 years old and just want to chec...",Professional Services,False,False,2025-01-28,2025-01-30,121.0,74.0,True,True,3.0,False,56.0,Thursday,8,1,3,False,True,False,False,30,,,,0.046357615894039736,0.1589310829817159,False,False
193229-1359,1359-location,Emergency Care Hospital,16872-1359,86-1359,2025-01-29,2025-01-29 10:45:00,30,Appointment,Tech appts,Kept,nail trim,Professional Services,False,False,2025-01-27,2025-01-29,33.87,2.0,True,True,2.0,False,58.75,Wednesday,10,1,2,False,True,False,False,30,,,,0.08421052631578947,0.1589310829817159,False,False
194669-1359,1359-location,Emergency Care Hospital,1699-1359,5-1359,2025-02-24,2025-02-24 10:00:00,30,Appointment,Examination,Kept,not eating much/anything for the past 2 days; foul smelling poop; O to bring a stool sample,Professional Services,False,False,2025-02-24,2025-02-24,695.0,6.0,True,True,6.0,False,10.0,Monday,10,2,0,False,True,False,False,30,,,,0.023316062176165803,0.1589310829817159,False,False
19332-1359,1359-location,Emergency Care Hospital,17127-1359,12-1359,2025-01-29,2025-01-29 09:00:00,30,Appointment,Examination,Kept,"Exam Drinking a lot of water. _x000D_
urinating all over the house_x000D_
blood work per owner_x000D_
diarrhea _x000D_
owner to bring in fecal",Professional Services,False,False,2025-01-28,2025-01-29,649.15,54.0,True,True,12.0,False,33.0,Wednesday,9,1,2,False,True,False,False,30,,,,0.023668639053254437,0.1589310829817159,False,False
192823-1359,1359-location,Emergency Care Hospital,1714-1359,1-1359,2025-01-14,2025-01-14 17:00:00,30,Appointment,Euthanasia,Late,euth; wants ashes,Professional Services,False,False,2025-01-13,2025-01-14,446.0,2.0,True,True,2.0,False,41.0,Tuesday,17,1,1,False,False,False,True,30,,,,0.046357615894039736,0.1589310829817159,False,False
193236-1359,1359-location,Emergency Care Hospital,1717-1359,12-1359,2025-01-28,2025-01-28 16:00:00,30,Appointment,Examination,Kept,"KS: 01-27-25 at 12:49p: Koopa is throwing up unchewed kibble, not excessively more so than normally. Skin concerns, red patches on stomach. Due for annual exam, fecal test, rabies, RCP and nail trim",Professional Services,False,False,2025-01-27,2025-01-28,533.56,8.0,True,True,8.0,False,40.0,Tuesday,16,1,1,False,False,True,False,30,,,,0.023668639053254437,0.1589310829817159,False,False
194229-1359,1359-location,Emergency Care Hospital,17234-1359,8-1359,2025-02-07,2025-02-07 16:45:00,30,Appointment,Euthanasia,Cancelled,Euthanasia ashes back,Professional Services,True,False,2025-02-06,2025-02-07,0.0,,False,False,,True,40.75,Friday,16,2,4,False,False,True,False,30,,,,0.8625592417061612,0.1589310829817159,False,False
194283-1359,1359-location,Emergency Care Hospital,17234-1359,5-1359,2025-02-10,2025-02-10 15:30:00,30,Appointment,Euthanasia,Kept,"euth - O bringing in with wendy, this appt was supposed to be friday",Professional Services,False,False,2025-02-10,2025-02-10,447.0,3.0,True,True,3.0,False,15.5,Monday,15,2,0,False,False,True,False,30,2025-02-07 16:45:00,2.0,1.0,0.023316062176165803,0.1589310829817159,False,False
192411-1359,1359-location,Emergency Care Hospital,17239-1359,8-1359,2025-01-02,2025-01-02 10:00:00,30,Appointment,Examination,Rescheduled,"Web Appointment - Matched_x000D_
VETSTORIA -  - Fuzzy (Cat) - Jeff Petty - Exam - Sick or Injured Pet [Veterinarian : Dr. Pete Magnuson(No Preference)] - Won't eat or drink much, druels.  Emergency vet gave fluids and pain meds Saturday, suggested blood work...",Professional Services,False,False,2024-12-29,2025-01-02,0.0,,False,False,,True,106.0,Thursday,10,1,3,False,True,False,False,30,,,,0.8625592417061612,0.1589310829817159,False,False
192481-1359,1359-location,Emergency Care Hospital,17239-1359,5-1359,2025-01-06,2025-01-06 09:00:00,30,Appointment,Examination,Kept,"Recheck exam after er follow up visit _x000D_
Dr. Pete Client",Professional Services,False,False,2024-12-31,2025-01-06,167.5,3.0,True,True,3.0,False,153.0,Monday,9,1,0,False,True,False,False,30,2025-01-02 10:00:00,3.0,1.0,0.023316062176165803,0.1589310829817159,False,False
19442-1359,1359-location,Emergency Care Hospital,17341-1359,1-1359,2025-02-14,2025-02-14 11:30:00,30,Appointment,Examination,Kept,"VETSTORIA Needs vaccines- did blood work last year but never received results No, this is not an emergency.",Professional Services,False,False,2025-02-12,2025-02-14,233.58,9.0,True,True,9.0,False,59.5,Friday,11,2,4,False,True,False,False,30,,,,0.046357615894039736,0.1589310829817159,False,False
192619-1359,1359-location,Emergency Care Hospital,17388-1359,1-1359,2025-01-10,2025-01-10 09:45:00,15,Appointment,Tech appts,Kept,"Nail trim and pick up Rimadyl (chart in Pharm)_x000D_
_x000D_
1/7/2025 9:04 AM: Confirmed via PetDesk",Professional Services,False,False,2025-01-06,2025-01-10,163.54000000000002,63.0,True,True,4.0,False,105.75,Friday,9,1,4,False,True,False,False,15,,,,0.046357615894039736,0.1589310829817159,False,False
19295-1359,1359-location,Emergency Care Hospital,17391-1359,5-1359,2025-01-18,2025-01-18 08:00:00,30,Appointment,Examination,Late,"VETSTORIA Losing weight, increased appetite,  QOL assessment",Professional Services,False,False,2025-01-15,2025-01-18,359.23,23.0,True,True,9.0,False,80.0,Saturday,8,1,5,True,True,False,False,30,,,,0.023316062176165803,0.1589310829817159,False,False
194744-1359,1359-location,Emergency Care Hospital,1742-1359,5-1359,2025-02-25,2025-02-25 12:30:00,30,Appointment,Examination,Kept,not eating. hasn't been seen at vet in many years,Professional Services,False,False,2025-02-25,2025-02-25,571.61,13.0,True,True,13.0,False,12.5,Tuesday,12,2,1,False,False,True,False,30,,,,0.023316062176165803,0.1589310829817159,False,False
193221-1359,1359-location,Emergency Care Hospital,17438-1359,5-1359,2025-01-30,2025-01-30 11:00:00,30,Appointment,Examination,Kept,? about nutrition,Professional Services,False,False,2025-01-27,2025-01-30,171.18,6.0,True,True,4.0,False,83.0,Thursday,11,1,3,False,True,False,False,30,,,,0.023316062176165803,0.1589310829817159,False,False
192885-1359,1359-location,Emergency Care Hospital,1749-1359,12-1359,2025-01-15,2025-01-15 09:00:00,30,Appointment,Examination,Kept,Recheck.  Still some respiratory distress.  Seems better but then not.  Recheck rads,Professional Services,False,False,2025-01-15,2025-01-15,354.72,5.0,True,True,5.0,False,9.0,Wednesday,9,1,2,False,True,False,False,30,,,,0.023668639053254437,0.1589310829817159,False,False
192888-1359,1359-location,Emergency Care Hospital,1749-1359,1-1359,2025-01-17,2025-01-17 07:45:00,15,Appointment,Dental cleaning,Late,D/O at 7:45 Please get a shot of the nasal cavity,Dentistry,False,False,2025-01-15,2025-01-17,1060.39,15.64,True,True,16.0,False,55.75,Friday,7,1,4,False,True,False,False,15,2025-01-15 09:00:00,1.0,0.0,0.046357615894039736,0.1589310829817159,False,False
192643-1359,1359-location,Emergency Care Hospital,175-1359,5-1359,2025-01-07,2025-01-07 13:00:00,60,Appointment,Euthanasia,Kept,Home Euthanasia and Individual cremation,Professional Services,False,False,2025-01-07,2025-01-07,585.3,2.0,True,True,2.0,False,13.0,Tuesday,13,1,1,False,False,True,False,60,,,,0.023316062176165803,0.1589310829817159,False,False
194617-1359,1359-location,Emergency Care Hospital,17522-1359,12-1359,2025-02-26,2025-02-26 14:00:00,30,Appointment,Examination,Kept,"Needs blood glucose check, nail trim, rabies, and fecal test._x000D_
_x000D_
KS: 02-20-25 at 2:24p: O wants to pick up refills of prescriptions at this time._x000D_
_x000D_
2/23/2025 9:04 AM: Confirmed via PetDesk",Professional Services,False,False,2025-02-20,2025-02-26,352.52,11.0,True,True,11.0,False,158.0,Wednesday,14,2,2,False,False,True,False,30,,,,0.023668639053254437,0.1589310829817159,False,False
194484-1359,1359-location,Emergency Care Hospital,1753-1359,5-1359,2025-02-24,2025-02-24 08:00:00,30,Appointment,Examination,No Show,"annual exam; we haven't seen Tuesday since 2023 so we should do an exam_x000D_
discuss whether or not we can/should do the rabies vaccine",Professional Services,True,False,2025-02-17,2025-02-24,0.0,,False,False,,True,176.0,Monday,8,2,0,False,True,False,False,30,,,,0.023316062176165803,0.1589310829817159,False,False
193355-1359,1359-location,Emergency Care Hospital,1754-1359,76-1359,2025-01-30,2025-01-30 07:30:00,15,Appointment,,Kept,"Day admit for Dr. Pete.  Exam, lamenss, eating and drinking normal, more lethargic",Professional Services,False,False,2025-01-29,2025-01-30,377.76,19.0,True,True,5.0,False,31.5,Thursday,7,1,3,False,True,False,False,15,,,,0.08823529411764706,0.1589310829817159,False,False
191911-1359,1359-location,Emergency Care Hospital,17547-1359,5-1359,2025-01-06,2025-01-06 13:30:00,15,Appointment,Tech appts,Kept,"Librela #2 of 2 of bundle O has already paid for this one_x000D_
_x000D_
1/3/2025 9:01 AM: Confirmed via PetDesk",Professional Services,False,False,2024-12-06,2025-01-06,34.8,3.0,True,True,3.0,False,757.5,Monday,13,1,0,False,False,True,False,15,,,,0.023316062176165803,0.1589310829817159,False,False
19265-1359,1359-location,Emergency Care Hospital,17547-1359,12-1359,2025-02-06,2025-02-06 13:00:00,15,Appointment,Tech appts,Kept,"Librela #3 - doesn't want to update vax and such, will make a appt for later in the month_x000D_
_x000D_
2/3/2025 9:15 AM: Confirmed via PetDesk",Professional Services,False,False,2025-01-06,2025-02-06,489.58,126.0,True,True,7.0,False,757.0,Thursday,13,2,3,False,False,True,False,15,2025-01-06 13:30:00,30.0,0.0,0.023668639053254437,0.1589310829817159,False,False
194225-1359,1359-location,Emergency Care Hospital,17547-1359,12-1359,2025-02-27,2025-02-27 13:00:00,30,Appointment,Examination,Kept,2/24/2025 9:03 AM: Confirmed via PetDesk,Professional Services,False,False,2025-02-06,2025-02-27,292.42,6.0,True,True,6.0,False,517.0,Thursday,13,2,3,False,False,True,False,30,2025-02-06 13:00:00,21.0,0.0,0.023668639053254437,0.1589310829817159,False,False
192837-1359,1359-location,Emergency Care Hospital,17643-1359,12-1359,2025-01-14,2025-01-14 15:00:00,15,Appointment,Tech appts,Late,nails,Professional Services,False,False,2025-01-14,2025-01-14,33.87,2.0,True,True,2.0,False,15.0,Tuesday,15,1,1,False,False,True,False,15,,,,0.023668639053254437,0.1589310829817159,False,False
193125-1359,1359-location,Emergency Care Hospital,17643-1359,1-1359,2025-01-24,2025-01-24 14:30:00,30,Appointment,Examination,Kept,"Pt ""reverse sleeping"" per O. sleeping all day and awake all night",Professional Services,False,False,2025-01-22,2025-01-24,108.23,32.0,True,True,3.0,False,62.5,Friday,14,1,4,False,False,True,False,30,2025-01-14 15:00:00,9.0,0.0,0.046357615894039736,0.1589310829817159,False,False
193192-1359,1359-location,Emergency Care Hospital,17643-1359,1-1359,2025-01-31,2025-01-31 11:00:00,60,Appointment,Examination,Kept,"acl rads + left foot, P will be fasted in case we need to sedate, PAS",Professional Services,False,False,2025-01-24,2025-01-31,562.58,8.0,True,True,7.0,False,179.0,Friday,11,1,4,False,True,False,False,60,2025-01-24 14:30:00,6.0,0.0,0.046357615894039736,0.1589310829817159,False,True
192443-1359,1359-location,Emergency Care Hospital,17659-1359,5-1359,2025-01-02,2025-01-02 08:45:00,15,Appointment,Tech appts,Kept,librela,Professional Services,False,False,2024-12-30,2025-01-02,91.0,1.0,True,True,1.0,False,80.75,Thursday,8,1,3,False,True,False,False,15,,,,0.023316062176165803,0.1589310829817159,False,False
193426-1359,1359-location,Emergency Care Hospital,17659-1359,86-1359,2025-02-04,2025-02-04 11:30:00,30,Appointment,Tech appts,Kept,librela,Professional Services,False,False,2025-02-01,2025-02-04,208.34,124.0,True,True,6.0,False,83.5,Tuesday,11,2,1,False,True,False,False,30,2025-01-02 08:45:00,33.0,0.0,0.08421052631578947,0.1589310829817159,False,False
192574-1359,1359-location,Emergency Care Hospital,17717-1359,76-1359,2025-01-06,2025-01-06 09:00:00,30,Appointment,Day Admit,Kept,"Web Appointment - Matched_x000D_
VETSTORIA -  - Biscuit (Cat) - Susan and Steve Brown - Exam - Sick or Injured Pet [Veterinarian : Dr. Deborah Adams(No Preference)] - Not eating like he usually does. Some crying at litter box. Possibly drinking more water. N...",Professional Services,False,False,2025-01-05,2025-01-06,857.8,7.0,True,True,7.0,False,33.0,Monday,9,1,0,False,True,False,False,30,,,,0.08823529411764706,0.1589310829817159,False,False
19341-1359,1359-location,Emergency Care Hospital,17718-1359,5-1359,2025-01-21,2025-01-21 14:00:00,30,Appointment,Examination,Kept,"VETSTORIA Cry?s after eating, before using the litter box and before his morning nap. Grief or digestive issues? -",Professional Services,False,False,2025-01-21,2025-01-21,416.5,5.0,True,True,5.0,False,14.0,Tuesday,14,1,1,False,False,True,False,30,,,,0.023316062176165803,0.1589310829817159,False,False
192763-1359,1359-location,Emergency Care Hospital,1772-1359,5-1359,2025-01-15,2025-01-15 15:00:00,30,Appointment,Examination,Kept,"Wants PM not eating very much vomiting and shaking_x000D_
_x000D_
1/12/2025 10:04 AM: Confirmed via PetDesk",Professional Services,False,False,2025-01-10,2025-01-15,164.93,20.0,True,True,9.0,False,135.0,Wednesday,15,1,2,False,False,True,False,30,,,,0.023316062176165803,0.1589310829817159,False,False
192862-1359,1359-location,Emergency Care Hospital,17734-1359,1-1359,2025-01-21,2025-01-21 15:30:00,15,Appointment,Tech appts,Late,"Librela 1st injection_x000D_
_x000D_
1/18/2025 9:01 AM: Confirmed via PetDesk",Professional Services,False,False,2025-01-14,2025-01-21,106.37,3.0,True,True,3.0,False,183.5,Tuesday,15,1,1,False,False,True,False,15,,,,0.046357615894039736,0.1589310829817159,False,False
19396-1359,1359-location,Emergency Care Hospital,17734-1359,86-1359,2025-02-19,2025-02-19 11:00:00,30,Appointment,Tech appts,Late,"librela #2_x000D_
_x000D_
2/16/2025 9:02 AM: Confirmed via PetDesk",Professional Services,False,False,2025-01-21,2025-02-19,106.37,3.0,True,True,3.0,False,707.0,Wednesday,11,2,2,False,True,False,False,30,2025-01-21 15:30:00,28.0,0.0,0.08421052631578947,0.1589310829817159,False,False
192944-1359,1359-location,Emergency Care Hospital,17763-1359,12-1359,2025-01-29,2025-01-29 16:00:00,30,Appointment,Examination,Late,"AAD: 01-28-25 at 3:13p: chart in pharm_x000D_
1/26/2025 9:08 AM: Confirmed via PetDesk",Professional Services,False,False,2025-01-16,2025-01-29,201.35,55.0,True,True,7.0,False,328.0,Wednesday,16,1,2,False,False,True,False,30,,,,0.023668639053254437,0.1589310829817159,False,False
1936-1359,1359-location,Emergency Care Hospital,17777-1359,1-1359,2025-01-21,2025-01-21 16:15:00,15,Appointment,Tech appts,Kept,anals,Professional Services,False,False,2025-01-20,2025-01-21,37.63,2.0,True,True,2.0,False,40.25,Tuesday,16,1,1,False,False,True,False,15,,,,0.046357615894039736,0.1589310829817159,False,False
193278-1359,1359-location,Emergency Care Hospital,17819-1359,5-1359,2025-01-29,2025-01-29 15:30:00,30,Appointment,Examination,Kept,doesn't want to do fecal; he's a strictly indoor cat; ask again about the RCP vaccine - may need to booster or make a 1-yr vaccine depending on the DVM,Professional Services,False,False,2025-01-28,2025-01-29,112.5,2.0,True,True,2.0,False,39.5,Wednesday,15,1,2,False,False,True,False,30,,,,0.023316062176165803,0.1589310829817159,False,False
194285-1359,1359-location,Emergency Care Hospital,1782-1359,5-1359,2025-02-12,2025-02-12 14:30:00,30,Appointment,Examination,Kept,Wants PM; discuss lymphoma diagnosis and exam,Professional Services,False,False,2025-02-10,2025-02-12,524.4200000000001,96.0,True,True,8.0,False,62.5,Wednesday,14,2,2,False,False,True,False,30,,,,0.023316062176165803,0.1589310829817159,False,False
194518-1359,1359-location,Emergency Care Hospital,1782-1359,76-1359,2025-02-18,2025-02-18 08:30:00,15,Appointment,,Cancelled,Buddy has been off for a day.  Seems painful in the abdomen.  Likely a day admit,Professional Services,True,False,2025-02-18,2025-02-18,0.0,,False,False,,True,8.5,Tuesday,8,2,1,False,True,False,False,15,2025-02-12 14:30:00,5.0,0.0,0.08823529411764706,0.1589310829817159,False,False
192543-1359,1359-location,Emergency Care Hospital,17836-1359,12-1359,2025-01-14,2025-01-14 17:00:00,30,Appointment,Examination,Kept,Home visit,Professional Services,False,False,2025-01-03,2025-01-14,0.0,,False,False,,True,281.0,Tuesday,17,1,1,False,False,False,True,30,,,,0.023668639053254437,0.1589310829817159,False,False
194418-1359,1359-location,Emergency Care Hospital,17878-1359,1-1359,2025-02-14,2025-02-14 15:30:00,30,Appointment,Examination,Kept,"worsening allergies, O says current medications dont seem to be doing much and that ""she almost seems kinda miserable""",Professional Services,False,False,2025-02-13,2025-02-14,171.56,31.0,True,True,4.0,False,39.5,Friday,15,2,4,False,False,True,False,30,,,,0.046357615894039736,0.1589310829817159,False,False
194598-1359,1359-location,Emergency Care Hospital,17898-1359,1-1359,2025-02-20,2025-02-20 11:00:00,30,Appointment,Euthanasia,Kept,Euth wants KEP,Professional Services,False,False,2025-02-19,2025-02-20,0.0,,False,False,,True,35.0,Thursday,11,2,3,False,True,False,False,30,,,,0.046357615894039736,0.1589310829817159,False,False
19349-1359,1359-location,Emergency Care Hospital,17911-1359,1-1359,2025-01-31,2025-01-31 15:00:00,30,Appointment,Examination,Kept,"librela. nails& anals. Denamarin refill_x000D_
_x000D_
1/28/2025 12:28 PM: Confirmed via PetDesk",Professional Services,False,False,2025-01-21,2025-01-31,405.76,12.0,True,True,12.0,False,255.0,Friday,15,1,4,False,False,True,False,30,,,,0.046357615894039736,0.1589310829817159,False,True
